locus_tag	ftype	length_bp	gene	EC_number	COG	product
HKLGDHBK_00116	CDS	2658	gyrA	5.99.1.3		DNA gyrase subunit A
HKLGDHBK_00117	CDS	852				hypothetical protein
HKLGDHBK_00118	CDS	1068				hypothetical protein
HKLGDHBK_00119	CDS	1125				hypothetical protein
HKLGDHBK_00120	CDS	3513				hypothetical protein
HKLGDHBK_00121	CDS	813	axeA1_1	3.1.1.72	COG0657	Acetylxylan esterase
HKLGDHBK_00122	CDS	1260				hypothetical protein
HKLGDHBK_00123	CDS	1137				hypothetical protein
HKLGDHBK_00124	CDS	900				hypothetical protein
HKLGDHBK_00125	CDS	1488				hypothetical protein
HKLGDHBK_00126	CDS	1392	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
HKLGDHBK_00127	CDS	369				hypothetical protein
HKLGDHBK_00128	CDS	402				hypothetical protein
HKLGDHBK_00129	CDS	642	lolA			Outer-membrane lipoprotein carrier protein
HKLGDHBK_00130	CDS	357	arnE			4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE
HKLGDHBK_00131	CDS	384				hypothetical protein
HKLGDHBK_00132	CDS	246	acpP_1		COG0236	Acyl carrier protein
HKLGDHBK_00133	CDS	873				hypothetical protein
HKLGDHBK_00134	CDS	414				hypothetical protein
HKLGDHBK_00135	CDS	1230	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
HKLGDHBK_00136	CDS	732	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase
HKLGDHBK_00137	CDS	744	rfaH			Transcription antitermination protein RfaH
HKLGDHBK_00138	CDS	1368				hypothetical protein
HKLGDHBK_00139	CDS	255				hypothetical protein
HKLGDHBK_00140	CDS	402				hypothetical protein
HKLGDHBK_00141	tRNA	83				tRNA-Leu(tag)
HKLGDHBK_00142	CDS	1812				hypothetical protein
HKLGDHBK_00143	CDS	1170				hypothetical protein
HKLGDHBK_00144	CDS	720	ypdB		COG3279	Transcriptional regulatory protein YpdB
HKLGDHBK_00145	CDS	396				hypothetical protein
HKLGDHBK_00146	CDS	588				hypothetical protein
HKLGDHBK_00147	CDS	129				hypothetical protein
HKLGDHBK_00148	CDS	1014	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
HKLGDHBK_00149	CDS	2166	kefB_2			Glutathione-regulated potassium-efflux system protein KefB
HKLGDHBK_00150	CDS	654	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
HKLGDHBK_00151	CDS	834	cvfB			Conserved virulence factor B
HKLGDHBK_00152	CDS	1455	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
HKLGDHBK_00153	CDS	1473				hypothetical protein
HKLGDHBK_00154	CDS	1371	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
HKLGDHBK_00155	tRNA	76				tRNA-Val(tac)
HKLGDHBK_00156	CDS	1188				hypothetical protein
HKLGDHBK_00157	CDS	105				hypothetical protein
HKLGDHBK_00158	CDS	1812	mutL		COG0323	DNA mismatch repair protein MutL
HKLGDHBK_00159	CDS	1677	lptD_2			LPS-assembly protein LptD
HKLGDHBK_00160	CDS	1407	surA	5.2.1.8		Chaperone SurA
HKLGDHBK_00161	CDS	1458	prsA	5.2.1.8		Foldase protein PrsA
HKLGDHBK_00162	CDS	1485	guaB	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
HKLGDHBK_00163	CDS	840			COG1752	putative NTE family protein
HKLGDHBK_00164	CDS	2178	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
HKLGDHBK_00165	CDS	1230	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
HKLGDHBK_00166	CDS	696	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
HKLGDHBK_00167	CDS	1365	tig	5.2.1.8		Trigger factor
HKLGDHBK_00168	CDS	819	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
HKLGDHBK_00169	CDS	798	mlaE		COG0767	putative phospholipid ABC transporter permease protein MlaE
HKLGDHBK_00170	CDS	780	glnQ		COG1126	Glutamine transport ATP-binding protein GlnQ
HKLGDHBK_00171	CDS	393				hypothetical protein
HKLGDHBK_00172	CDS	1314	der		COG1160	GTPase Der
HKLGDHBK_00173	CDS	921	era		COG1159	GTPase Era
HKLGDHBK_00174	CDS	1005	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
HKLGDHBK_00175	CDS	189	rpmF			50S ribosomal protein L32
HKLGDHBK_00176	CDS	564				hypothetical protein
HKLGDHBK_00177	CDS	1188	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
HKLGDHBK_00178	CDS	1233				hypothetical protein
HKLGDHBK_00179	CDS	969				hypothetical protein
HKLGDHBK_00180	CDS	687				hypothetical protein
HKLGDHBK_00181	CDS	267				hypothetical protein
HKLGDHBK_00182	CDS	468				hypothetical protein
HKLGDHBK_00183	CDS	828				hypothetical protein
HKLGDHBK_00184	CDS	348				hypothetical protein
HKLGDHBK_00185	CDS	1377				hypothetical protein
HKLGDHBK_00186	CDS	1302				hypothetical protein
HKLGDHBK_00187	CDS	867				hypothetical protein
HKLGDHBK_00188	CDS	666	aqpZ		COG0580	Aquaporin Z
HKLGDHBK_00189	CDS	1011	fda	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
HKLGDHBK_00190	CDS	1119	axe1-6A		COG2382	Carbohydrate acetyl esterase/feruloyl esterase
HKLGDHBK_00191	tRNA	74				tRNA-Lys(ttt)
HKLGDHBK_00192	CDS	1122				Sodium-lithium/proton antiporter
HKLGDHBK_00193	CDS	630	tdk	2.7.1.21	COG1435	Thymidine kinase
HKLGDHBK_00194	CDS	684	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
HKLGDHBK_00195	CDS	885				hypothetical protein
HKLGDHBK_00196	CDS	972	manA_1	5.3.1.8	COG1482	Mannose-6-phosphate isomerase ManA
HKLGDHBK_00197	CDS	885	rhaS_1			HTH-type transcriptional activator RhaS
HKLGDHBK_00198	CDS	1278	bfce	5.1.3.11	COG2942	Cellobiose 2-epimerase
HKLGDHBK_00199	CDS	1377	yicJ		COG2211	Inner membrane symporter YicJ
HKLGDHBK_00200	CDS	1170		2.4.1.281	COG2152	4-O-beta-D-mannosyl-D-glucose phosphorylase
HKLGDHBK_00201	CDS	1065	manA_2	3.2.1.78	COG4124	Mannan endo-1,4-beta-mannosidase
HKLGDHBK_00202	CDS	1278	axe7A	3.1.1.-	COG3458	Acetyl esterase Axe7A
HKLGDHBK_00203	CDS	3279	susC_2			TonB-dependent receptor SusC
HKLGDHBK_00204	CDS	1728				SusD-like protein
HKLGDHBK_00205	CDS	1431				hypothetical protein
HKLGDHBK_00206	CDS	2445				hypothetical protein
HKLGDHBK_00207	CDS	1557				hypothetical protein
HKLGDHBK_00208	CDS	1119	manA_3	3.2.1.78	COG4124	Mannan endo-1,4-beta-mannosidase
HKLGDHBK_00209	CDS	1170	manA_4	3.2.1.78	COG4124	Mannan endo-1,4-beta-mannosidase
HKLGDHBK_00210	CDS	1518	nnrD	4.2.1.136		ADP-dependent (S)-NAD(P)H-hydrate dehydratase
HKLGDHBK_00211	CDS	540	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
HKLGDHBK_00212	CDS	573	adk	2.7.4.3	COG0563	Adenylate kinase
HKLGDHBK_00213	CDS	1191	obg	3.6.5.-		GTPase Obg
HKLGDHBK_00214	CDS	771		1.10.3.-	COG1496	Polyphenol oxidase
HKLGDHBK_00215	CDS	1080	mftC	2.-.-.-	COG0535	Putative mycofactocin radical SAM maturase MftC
HKLGDHBK_00216	CDS	411				hypothetical protein
HKLGDHBK_00217	CDS	1182	purH_1		COG0138	Bifunctional purine biosynthesis protein PurH
HKLGDHBK_00218	CDS	225				hypothetical protein
HKLGDHBK_00219	CDS	372	rplS		COG0335	50S ribosomal protein L19
HKLGDHBK_00220	CDS	768				hypothetical protein
HKLGDHBK_00221	CDS	843	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
HKLGDHBK_00222	CDS	8388				hypothetical protein
HKLGDHBK_00223	CDS	4296				hypothetical protein
HKLGDHBK_00224	CDS	120				hypothetical protein
HKLGDHBK_00225	CDS	2703				hypothetical protein
HKLGDHBK_00226	CDS	108				hypothetical protein
HKLGDHBK_00227	CDS	726	btsR		COG3279	Transcriptional regulatory protein BtsR
HKLGDHBK_00228	CDS	741				hypothetical protein
HKLGDHBK_00229	CDS	183				hypothetical protein
HKLGDHBK_00230	CDS	11769				hypothetical protein
HKLGDHBK_00231	CDS	792				hypothetical protein
HKLGDHBK_00232	CDS	528				hypothetical protein
HKLGDHBK_00233	CDS	168				Ferredoxin
HKLGDHBK_00234	CDS	141				hypothetical protein
HKLGDHBK_00235	CDS	1413				hypothetical protein
HKLGDHBK_00236	CDS	963				hypothetical protein
HKLGDHBK_00237	CDS	861				hypothetical protein
HKLGDHBK_00238	CDS	648				hypothetical protein
HKLGDHBK_00239	CDS	645				hypothetical protein
HKLGDHBK_00240	CDS	828				hypothetical protein
HKLGDHBK_00241	CDS	1227		2.6.1.1		Aspartate aminotransferase
HKLGDHBK_00242	CDS	1218	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
HKLGDHBK_00243	CDS	2118				hypothetical protein
HKLGDHBK_00244	tRNA	75				tRNA-Met(cat)
HKLGDHBK_00245	CDS	594	purH_2		COG0138	Bifunctional purine biosynthesis protein PurH
HKLGDHBK_00246	CDS	1023	mreB		COG1077	Rod shape-determining protein MreB
HKLGDHBK_00247	CDS	858				hypothetical protein
HKLGDHBK_00248	CDS	480				hypothetical protein
HKLGDHBK_00249	CDS	2166	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
HKLGDHBK_00250	CDS	1476	ftsW_1			Putative lipid II flippase FtsW
HKLGDHBK_00251	CDS	441				hypothetical protein
HKLGDHBK_00252	CDS	1101				hypothetical protein
HKLGDHBK_00253	CDS	1125				hypothetical protein
HKLGDHBK_00254	CDS	1470	xylE			D-xylose-proton symporter
HKLGDHBK_00255	CDS	1281				hypothetical protein
HKLGDHBK_00256	CDS	435	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
HKLGDHBK_00257	CDS	735	birA	6.3.4.15		Bifunctional ligase/repressor BirA
HKLGDHBK_00258	CDS	678				hypothetical protein
HKLGDHBK_00259	CDS	1179	mro_1	5.1.3.3	COG2017	Aldose 1-epimerase
HKLGDHBK_00260	CDS	108				hypothetical protein
HKLGDHBK_00261	CDS	414				hypothetical protein
HKLGDHBK_00262	CDS	126				hypothetical protein
HKLGDHBK_00263	CDS	834	pheA		COG0077	P-protein
HKLGDHBK_00264	CDS	1206	dapL_1	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
HKLGDHBK_00265	CDS	1065	kdsA_1	2.5.1.55		2-dehydro-3-deoxyphosphooctonate aldolase
HKLGDHBK_00266	CDS	855				hypothetical protein
HKLGDHBK_00267	CDS	1017	ganB	3.2.1.89	COG3867	Arabinogalactan endo-beta-1,4-galactanase
HKLGDHBK_00268	CDS	996				hypothetical protein
HKLGDHBK_00269	CDS	663				hypothetical protein
HKLGDHBK_00270	CDS	1407	ffh		COG0541	Signal recognition particle protein
HKLGDHBK_00271	CDS	873	folD		COG0190	Bifunctional protein FolD protein
HKLGDHBK_00272	CDS	354				hypothetical protein
HKLGDHBK_00273	CDS	234	ndhI_1	1.6.5.11		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
HKLGDHBK_00274	CDS	1089	korA_1	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
HKLGDHBK_00275	CDS	762	korB_1	1.2.7.3	COG1013	2-oxoglutarate oxidoreductase subunit KorB
HKLGDHBK_00276	CDS	546				hypothetical protein
HKLGDHBK_00277	CDS	1149				Outer membrane protein 41
HKLGDHBK_00278	CDS	1812	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
HKLGDHBK_00279	CDS	1731	ilvB	2.2.1.6	COG0028	Acetolactate synthase large subunit
HKLGDHBK_00280	CDS	555	ilvH	2.2.1.6	COG0440	Putative acetolactate synthase small subunit
HKLGDHBK_00281	CDS	774				hypothetical protein
HKLGDHBK_00282	CDS	1044		1.1.1.382	COG0059	Ketol-acid reductoisomerase (NAD(+))
HKLGDHBK_00283	CDS	2058	srmB	3.6.4.13		ATP-dependent RNA helicase SrmB
HKLGDHBK_00284	CDS	1731	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
HKLGDHBK_00285	CDS	405				hypothetical protein
HKLGDHBK_00286	CDS	411				hypothetical protein
HKLGDHBK_00287	CDS	441				hypothetical protein
HKLGDHBK_00288	CDS	903				hypothetical protein
HKLGDHBK_00289	CDS	1824	lepA_1	3.6.5.-		Elongation factor 4
HKLGDHBK_00290	CDS	600				hypothetical protein
HKLGDHBK_00291	CDS	534	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
HKLGDHBK_00292	CDS	1197	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
HKLGDHBK_00293	CDS	2250	acnD	4.2.1.117	COG1048	2-methylcitrate dehydratase (2-methyl-trans-aconitate forming)
HKLGDHBK_00294	CDS	1347	gltA	2.3.3.16	COG0372	Citrate synthase
HKLGDHBK_00295	CDS	1473	sdcS_2		COG0471	Sodium-dependent dicarboxylate transporter SdcS
HKLGDHBK_00296	CDS	1158	hemN	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein YqeR
HKLGDHBK_00297	CDS	2160	fusA		COG0480	Elongation factor G
HKLGDHBK_00298	CDS	348				hypothetical protein
HKLGDHBK_00299	CDS	1560	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
HKLGDHBK_00300	CDS	699	walR		COG0745	Transcriptional regulatory protein WalR
HKLGDHBK_00301	CDS	711	susC_3			TonB-dependent receptor SusC
HKLGDHBK_00302	CDS	183				hypothetical protein
HKLGDHBK_00303	CDS	102				hypothetical protein
HKLGDHBK_00304	CDS	345	rpsF		COG0360	30S ribosomal protein S6
HKLGDHBK_00305	CDS	270	rpsR			30S ribosomal protein S18
HKLGDHBK_00306	CDS	573	rplI			50S ribosomal protein L9
HKLGDHBK_00307	CDS	855	panS_1		COG0385	Pantothenate precursors transporter PanS
HKLGDHBK_00308	CDS	483				hypothetical protein
HKLGDHBK_00309	CDS	879	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
HKLGDHBK_00310	CDS	1662	tvaII	3.2.1.135		Neopullulanase 2
HKLGDHBK_00311	CDS	507				hypothetical protein
HKLGDHBK_00312	CDS	909				hypothetical protein
HKLGDHBK_00313	CDS	873	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
HKLGDHBK_00314	CDS	648	pdxT	4.3.3.6		Pyridoxal 5'-phosphate synthase subunit PdxT
HKLGDHBK_00315	CDS	1575	rne	3.1.26.12	COG1530	Ribonuclease E
HKLGDHBK_00316	CDS	90				hypothetical protein
HKLGDHBK_00317	CDS	273	hup			DNA-binding protein HU
HKLGDHBK_00318	CDS	2217	glnA_1	6.3.1.2		Glutamine synthetase
HKLGDHBK_00319	CDS	1233	dapL_2	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
HKLGDHBK_00320	CDS	819	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
HKLGDHBK_00321	CDS	1371	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
HKLGDHBK_00322	CDS	4539	gltB	1.4.7.1		Ferredoxin-dependent glutamate synthase 1
HKLGDHBK_00323	CDS	180				hypothetical protein
HKLGDHBK_00324	CDS	348	glnB		COG0347	Nitrogen regulatory protein P-II
HKLGDHBK_00325	CDS	1248	amt			Ammonia channel
HKLGDHBK_00326	CDS	750				hypothetical protein
HKLGDHBK_00327	CDS	1626	pyrG_1	6.3.4.2		CTP synthase
HKLGDHBK_00328	CDS	1773	purF_1	2.4.2.14	COG0034	Amidophosphoribosyltransferase
HKLGDHBK_00329	CDS	1698	asnB	6.3.5.4	COG0367	Asparagine synthetase B [glutamine-hydrolyzing]
HKLGDHBK_00330	CDS	981	coaW	2.7.1.33		Type II pantothenate kinase
HKLGDHBK_00331	CDS	1506	purF_2	2.4.2.14	COG0034	Amidophosphoribosyltransferase
HKLGDHBK_00332	CDS	960				hypothetical protein
HKLGDHBK_00333	CDS	417				hypothetical protein
HKLGDHBK_00334	CDS	237				hypothetical protein
HKLGDHBK_00335	CDS	297				hypothetical protein
HKLGDHBK_00336	CDS	1959				hypothetical protein
HKLGDHBK_00337	CDS	795				hypothetical protein
HKLGDHBK_00338	CDS	315				hypothetical protein
HKLGDHBK_00339	CDS	651				hypothetical protein
HKLGDHBK_00340	CDS	477				hypothetical protein
HKLGDHBK_00341	CDS	492				hypothetical protein
HKLGDHBK_00342	CDS	189				hypothetical protein
HKLGDHBK_00343	CDS	1005				hypothetical protein
HKLGDHBK_00344	CDS	432				hypothetical protein
HKLGDHBK_00345	CDS	312				hypothetical protein
HKLGDHBK_00346	CDS	1173				hypothetical protein
HKLGDHBK_00347	CDS	480				hypothetical protein
HKLGDHBK_00348	tRNA	73				tRNA-Arg(cct)
HKLGDHBK_00349	CDS	2568				hypothetical protein
HKLGDHBK_00350	CDS	1074				hypothetical protein
HKLGDHBK_00351	CDS	219				hypothetical protein
HKLGDHBK_00352	CDS	561				hypothetical protein
HKLGDHBK_00353	CDS	2403				hypothetical protein
HKLGDHBK_00354	CDS	1215				hypothetical protein
HKLGDHBK_00355	CDS	999				hypothetical protein
HKLGDHBK_00356	CDS	1260				hypothetical protein
HKLGDHBK_00357	CDS	2364				hypothetical protein
HKLGDHBK_00358	CDS	909				hypothetical protein
HKLGDHBK_00359	CDS	1089	bspRIM	2.1.1.37		Modification methylase BspRI
HKLGDHBK_00360	CDS	1020				IS1595 family transposase ISCco3
HKLGDHBK_00361	CDS	741				hypothetical protein
HKLGDHBK_00362	CDS	1260				hypothetical protein
HKLGDHBK_00363	CDS	1074				hypothetical protein
HKLGDHBK_00364	CDS	2184				hypothetical protein
HKLGDHBK_00365	CDS	498	vsr	3.1.-.-	COG3727	Very short patch repair protein
HKLGDHBK_00366	tRNA	83				tRNA-Leu(caa)
HKLGDHBK_00367	CDS	1149	algA		COG0662	Alginate biosynthesis protein AlgA
HKLGDHBK_00368	CDS	399			COG0537	putative HIT-like protein
HKLGDHBK_00369	CDS	471	greA_1		COG0782	Transcription elongation factor GreA
HKLGDHBK_00370	CDS	126				hypothetical protein
HKLGDHBK_00371	CDS	2076	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
HKLGDHBK_00372	CDS	2604				hypothetical protein
HKLGDHBK_00373	CDS	1023				hypothetical protein
HKLGDHBK_00374	CDS	2190	glnA_2	6.3.1.2		Glutamine synthetase
