locus_tag	ftype	length_bp	gene	EC_number	COG	product
LABOMGJG_00130	CDS	423	rplK			50S ribosomal protein L11
LABOMGJG_00131	CDS	690	rplA			50S ribosomal protein L1
LABOMGJG_00132	CDS	531	rplJ		COG0244	50S ribosomal protein L10
LABOMGJG_00133	CDS	381	rplL		COG0222	50S ribosomal protein L7/L12
LABOMGJG_00134	CDS	3759	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
LABOMGJG_00135	CDS	4317	rpoC	2.7.7.6		DNA-directed RNA polymerase subunit beta'
LABOMGJG_00136	CDS	213				hypothetical protein
LABOMGJG_00137	CDS	288	yafQ_1	3.1.-.-	COG3041	mRNA interferase toxin YafQ
LABOMGJG_00138	CDS	117				hypothetical protein
LABOMGJG_00139	CDS	441				hypothetical protein
LABOMGJG_00140	CDS	249				hypothetical protein
LABOMGJG_00141	CDS	264				hypothetical protein
LABOMGJG_00142	CDS	138				hypothetical protein
LABOMGJG_00143	CDS	312				hypothetical protein
LABOMGJG_00144	CDS	6354				hypothetical protein
LABOMGJG_00145	CDS	138				hypothetical protein
LABOMGJG_00146	CDS	294				hypothetical protein
LABOMGJG_00147	CDS	405				hypothetical protein
LABOMGJG_00148	CDS	360				hypothetical protein
LABOMGJG_00149	CDS	1185	norR			Anaerobic nitric oxide reductase transcription regulator NorR
LABOMGJG_00150	CDS	537				hypothetical protein
LABOMGJG_00151	CDS	834				hypothetical protein
LABOMGJG_00152	CDS	2280	wzc	2.7.10.-	COG0489	Tyrosine-protein kinase wzc
LABOMGJG_00153	CDS	858	topB_1	5.99.1.2		DNA topoisomerase 3
LABOMGJG_00154	CDS	969	topB_2	5.99.1.2	COG0550	DNA topoisomerase 3
LABOMGJG_00155	CDS	3447				hypothetical protein
LABOMGJG_00156	CDS	1941				hypothetical protein
LABOMGJG_00157	CDS	1494				hypothetical protein
LABOMGJG_00158	CDS	1500	pehX	3.2.1.82		Exo-poly-alpha-D-galacturonosidase
LABOMGJG_00159	CDS	696				hypothetical protein
LABOMGJG_00160	CDS	429				hypothetical protein
LABOMGJG_00161	CDS	1536				hypothetical protein
LABOMGJG_00162	CDS	651	recA_1		COG0468	Protein RecA
LABOMGJG_00163	CDS	351	recA_2		COG0468	Protein RecA
LABOMGJG_00164	CDS	1359				hypothetical protein
LABOMGJG_00165	CDS	939				hypothetical protein
LABOMGJG_00166	CDS	951				hypothetical protein
LABOMGJG_00167	CDS	492				hypothetical protein
LABOMGJG_00168	CDS	498				hypothetical protein
LABOMGJG_00169	CDS	1206	rhaR_1			HTH-type transcriptional activator RhaR
LABOMGJG_00170	tRNA	74				tRNA-Gly(gcc)
LABOMGJG_00171	tRNA	83				tRNA-Leu(cag)
LABOMGJG_00172	tRNA	85				tRNA-Leu(gag)
LABOMGJG_00173	CDS	120				hypothetical protein
LABOMGJG_00174	CDS	777	djlA			DnaJ-like protein DjlA
LABOMGJG_00175	CDS	270	rpsO		COG0184	30S ribosomal protein S15
LABOMGJG_00176	CDS	642		3.-.-.-		putative metallo-hydrolase
LABOMGJG_00177	CDS	777	pqqE_1			Coenzyme PQQ synthesis protein E
LABOMGJG_00178	CDS	432	rpiB	5.3.1.6	COG0698	Ribose-5-phosphate isomerase B
LABOMGJG_00179	CDS	681				hypothetical protein
LABOMGJG_00180	CDS	564	efp		COG0231	Elongation factor P
LABOMGJG_00181	CDS	810				hypothetical protein
LABOMGJG_00182	CDS	2217		3.2.1.21	COG1472	Beta-glucosidase BoGH3B
LABOMGJG_00183	CDS	3687				hypothetical protein
LABOMGJG_00184	CDS	1626				hypothetical protein
LABOMGJG_00185	CDS	2997				hypothetical protein
LABOMGJG_00186	CDS	1449	yagG		COG2211	Putative glycoside/cation symporter YagG
LABOMGJG_00187	CDS	975	bglA	3.2.1.73		Beta-glucanase
LABOMGJG_00188	CDS	1032				hypothetical protein
LABOMGJG_00189	CDS	1290				hypothetical protein
LABOMGJG_00190	CDS	1281				hypothetical protein
LABOMGJG_00191	CDS	978				hypothetical protein
LABOMGJG_00192	CDS	1626				SusD-like protein
LABOMGJG_00193	CDS	3189	susC_2			TonB-dependent receptor SusC
LABOMGJG_00194	CDS	2526				hypothetical protein
LABOMGJG_00195	CDS	318				hypothetical protein
LABOMGJG_00196	CDS	291				hypothetical protein
LABOMGJG_00197	CDS	132				hypothetical protein
LABOMGJG_00198	CDS	4896				hypothetical protein
LABOMGJG_00199	CDS	876				hypothetical protein
LABOMGJG_00200	CDS	1536				hypothetical protein
LABOMGJG_00201	CDS	1122				hypothetical protein
LABOMGJG_00202	CDS	315				hypothetical protein
LABOMGJG_00203	CDS	960	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
LABOMGJG_00204	CDS	1032				hypothetical protein
LABOMGJG_00205	CDS	750	sufC		COG0396	putative ATP-dependent transporter SufC
LABOMGJG_00206	CDS	690	sufD		COG0719	FeS cluster assembly protein SufD
LABOMGJG_00207	CDS	993	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
LABOMGJG_00208	CDS	1347	uxaC	5.3.1.12	COG1904	Uronate isomerase
LABOMGJG_00209	CDS	492				hypothetical protein
LABOMGJG_00210	CDS	1830				hypothetical protein
LABOMGJG_00211	CDS	594				hypothetical protein
LABOMGJG_00212	CDS	354				hypothetical protein
LABOMGJG_00213	CDS	1092				hypothetical protein
LABOMGJG_00214	CDS	1026	iolC_1	2.7.1.92		5-dehydro-2-deoxygluconokinase
LABOMGJG_00215	CDS	669	kdgA		COG0800	KHG/KDPG aldolase
LABOMGJG_00216	CDS	1548				hypothetical protein
LABOMGJG_00217	CDS	234				hypothetical protein
LABOMGJG_00218	CDS	1002	aroC	4.2.3.5	COG0082	Chorismate synthase
LABOMGJG_00219	CDS	1071				hypothetical protein
LABOMGJG_00220	CDS	1203	pgaC	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
LABOMGJG_00221	CDS	309				hypothetical protein
LABOMGJG_00222	CDS	876	udp	2.4.2.3	COG2820	Uridine phosphorylase
LABOMGJG_00223	CDS	96				hypothetical protein
LABOMGJG_00224	CDS	363				hypothetical protein
LABOMGJG_00225	CDS	2415				hypothetical protein
LABOMGJG_00226	CDS	1092	aroA	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
LABOMGJG_00227	CDS	489				hypothetical protein
LABOMGJG_00228	CDS	768				hypothetical protein
LABOMGJG_00229	CDS	11427				hypothetical protein
LABOMGJG_00230	CDS	1260				hypothetical protein
LABOMGJG_00231	CDS	606	rsxA		COG4657	Electron transport complex subunit RsxA
LABOMGJG_00232	CDS	594	rnfE		COG4660	Electron transport complex subunit RnfE
LABOMGJG_00233	CDS	687	rsxG		COG4659	Electron transport complex subunit RsxG
LABOMGJG_00234	CDS	1011	rsxD		COG4658	Electron transport complex subunit RsxD
LABOMGJG_00235	CDS	1347	rnfC		COG4656	Electron transport complex subunit RnfC
LABOMGJG_00236	CDS	423	rsxB			Electron transport complex subunit RsxB
LABOMGJG_00237	CDS	453				hypothetical protein
LABOMGJG_00238	CDS	2541				hypothetical protein
LABOMGJG_00239	CDS	564				hypothetical protein
LABOMGJG_00240	CDS	930	trxB	1.8.1.9	COG0492	Thioredoxin reductase
LABOMGJG_00241	CDS	444	ssb		COG0629	Single-stranded DNA-binding protein
LABOMGJG_00242	CDS	945				hypothetical protein
LABOMGJG_00243	CDS	831				hypothetical protein
LABOMGJG_00244	CDS	933				hypothetical protein
LABOMGJG_00245	CDS	1056	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
LABOMGJG_00246	CDS	951				hypothetical protein
LABOMGJG_00247	CDS	681				hypothetical protein
LABOMGJG_00248	CDS	2094	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
LABOMGJG_00249	CDS	195	rpsU			30S ribosomal protein S21
LABOMGJG_00250	tRNA	81				tRNA-Leu(caa)
LABOMGJG_00251	CDS	381				hypothetical protein
LABOMGJG_00252	CDS	360				hypothetical protein
LABOMGJG_00253	CDS	201				hypothetical protein
LABOMGJG_00254	CDS	5253				hypothetical protein
LABOMGJG_00255	CDS	1605	pckA	4.1.1.49		Phosphoenolpyruvate carboxykinase (ATP)
LABOMGJG_00256	CDS	927				hypothetical protein
LABOMGJG_00257	CDS	5586				hypothetical protein
LABOMGJG_00258	CDS	447				hypothetical protein
LABOMGJG_00259	CDS	366				hypothetical protein
LABOMGJG_00260	CDS	183				hypothetical protein
LABOMGJG_00261	CDS	621	tsaC	2.7.7.87		Threonylcarbamoyl-AMP synthase
LABOMGJG_00262	CDS	1272				hypothetical protein
LABOMGJG_00263	CDS	1041				hypothetical protein
LABOMGJG_00264	CDS	171				hypothetical protein
LABOMGJG_00265	CDS	177				hypothetical protein
LABOMGJG_00266	CDS	1482	cat1	2.8.3.-	COG0427	Succinyl-CoA:coenzyme A transferase
LABOMGJG_00267	CDS	795	fda	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
LABOMGJG_00268	CDS	1941				hypothetical protein
LABOMGJG_00269	CDS	1116				hypothetical protein
LABOMGJG_00270	CDS	1089				hypothetical protein
LABOMGJG_00271	CDS	972	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
LABOMGJG_00272	CDS	318				hypothetical protein
LABOMGJG_00273	CDS	597				hypothetical protein
LABOMGJG_00274	CDS	222				hypothetical protein
LABOMGJG_00275	CDS	1209				hypothetical protein
LABOMGJG_00276	CDS	2238				hypothetical protein
LABOMGJG_00277	CDS	375				hypothetical protein
LABOMGJG_00278	CDS	516				hypothetical protein
LABOMGJG_00279	CDS	375				hypothetical protein
LABOMGJG_00280	CDS	516				hypothetical protein
LABOMGJG_00281	CDS	2457				hypothetical protein
LABOMGJG_00282	CDS	867	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
LABOMGJG_00283	CDS	951	corA		COG0598	Magnesium transport protein CorA
LABOMGJG_00284	CDS	966	nadA	2.5.1.72	COG0379	Quinolinate synthase A
LABOMGJG_00285	CDS	879				hypothetical protein
LABOMGJG_00286	CDS	1269	gtf1_1	2.4.1.-		Glycosyltransferase Gtf1
LABOMGJG_00287	CDS	648	xynZ	3.2.1.8	COG2382	Endo-1,4-beta-xylanase Z
LABOMGJG_00288	CDS	963				hypothetical protein
LABOMGJG_00289	CDS	1266	csd	2.8.1.7		putative cysteine desulfurase
LABOMGJG_00290	CDS	1116				hypothetical protein
LABOMGJG_00291	CDS	1005				hypothetical protein
LABOMGJG_00292	CDS	903				hypothetical protein
LABOMGJG_00293	CDS	660	lolD	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
LABOMGJG_00294	CDS	465				hypothetical protein
LABOMGJG_00295	CDS	1818	uvrC		COG0322	UvrABC system protein C
LABOMGJG_00296	CDS	540	apt	2.4.2.7		Adenine phosphoribosyltransferase
LABOMGJG_00297	CDS	1866	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
LABOMGJG_00298	CDS	435				hypothetical protein
LABOMGJG_00299	CDS	1464	ftsW_2			Putative lipid II flippase FtsW
LABOMGJG_00300	CDS	1839	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
LABOMGJG_00301	CDS	495				hypothetical protein
LABOMGJG_00302	CDS	792				hypothetical protein
LABOMGJG_00303	CDS	1020	mreB		COG1077	Rod shape-determining protein MreB
LABOMGJG_00304	tRNA	75				tRNA-Asn(gtt)
LABOMGJG_00305	CDS	1005	iolC_2	2.7.1.92		5-dehydro-2-deoxygluconokinase
LABOMGJG_00306	CDS	732	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
LABOMGJG_00307	CDS	438				hypothetical protein
LABOMGJG_00308	CDS	1158				hypothetical protein
LABOMGJG_00309	CDS	1083				hypothetical protein
LABOMGJG_00310	CDS	519				hypothetical protein
LABOMGJG_00311	CDS	765	trmB	2.1.1.33		tRNA (guanine-N(7)-)-methyltransferase
LABOMGJG_00312	CDS	177				hypothetical protein
LABOMGJG_00313	CDS	306				hypothetical protein
LABOMGJG_00314	CDS	420				hypothetical protein
LABOMGJG_00315	CDS	297				hypothetical protein
LABOMGJG_00316	CDS	351				hypothetical protein
LABOMGJG_00317	CDS	240	acpP_1		COG0236	Acyl carrier protein
LABOMGJG_00318	CDS	267				hypothetical protein
LABOMGJG_00319	CDS	393				hypothetical protein
LABOMGJG_00320	CDS	303				hypothetical protein
LABOMGJG_00321	CDS	1230				hypothetical protein
LABOMGJG_00322	CDS	777				hypothetical protein
LABOMGJG_00323	CDS	1272				hypothetical protein
LABOMGJG_00324	CDS	384				hypothetical protein
LABOMGJG_00325	CDS	3003				hypothetical protein
LABOMGJG_00326	CDS	687	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
LABOMGJG_00327	CDS	1248	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
LABOMGJG_00328	CDS	1434				hypothetical protein
LABOMGJG_00329	CDS	849	glgA_1	2.4.1.21		Glycogen synthase
LABOMGJG_00330	CDS	825	panC	6.3.2.1	COG0414	Pantothenate synthetase
LABOMGJG_00331	CDS	966	pdxB_1	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
LABOMGJG_00332	CDS	846				hypothetical protein
LABOMGJG_00333	CDS	426				hypothetical protein
LABOMGJG_00334	CDS	237				hypothetical protein
LABOMGJG_00335	CDS	10077				hypothetical protein
LABOMGJG_00336	CDS	144				hypothetical protein
LABOMGJG_00337	CDS	1857				hypothetical protein
LABOMGJG_00338	CDS	1509				hypothetical protein
LABOMGJG_00339	CDS	1287				hypothetical protein
LABOMGJG_00340	CDS	5223				hypothetical protein
LABOMGJG_00341	CDS	1389				hypothetical protein
LABOMGJG_00342	CDS	795	tsaD_1	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase
LABOMGJG_00343	CDS	2589				hypothetical protein
LABOMGJG_00344	tRNA	75				tRNA-Pro(ggg)
LABOMGJG_00345	CDS	1320	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
LABOMGJG_00346	CDS	471	greA		COG0782	Transcription elongation factor GreA
LABOMGJG_00347	CDS	408			COG0537	putative HIT-like protein
LABOMGJG_00348	CDS	249				hypothetical protein
LABOMGJG_00349	CDS	957				hypothetical protein
LABOMGJG_00350	CDS	1041				hypothetical protein
LABOMGJG_00351	CDS	291				hypothetical protein
LABOMGJG_00352	CDS	2376	mutS2	3.1.-.-		Endonuclease MutS2
LABOMGJG_00353	CDS	711				hypothetical protein
LABOMGJG_00354	CDS	876	cpdA_1	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
LABOMGJG_00355	CDS	609				hypothetical protein
LABOMGJG_00356	CDS	900				hypothetical protein
LABOMGJG_00357	CDS	420				hypothetical protein
LABOMGJG_00358	CDS	177				hypothetical protein
LABOMGJG_00359	CDS	531	sigE			ECF RNA polymerase sigma factor SigE
LABOMGJG_00360	CDS	456	rplM		COG0102	50S ribosomal protein L13
LABOMGJG_00361	CDS	387	rpsI		COG0103	30S ribosomal protein S9
LABOMGJG_00362	CDS	858				hypothetical protein
LABOMGJG_00363	CDS	993	tsf			Elongation factor Ts
LABOMGJG_00364	CDS	1539				hypothetical protein
LABOMGJG_00365	CDS	1716	dbpA	3.6.4.13		ATP-dependent RNA helicase DbpA
LABOMGJG_00366	CDS	1623	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
LABOMGJG_00367	CDS	1251	epsN	2.6.1.-	COG0399	Putative pyridoxal phosphate-dependent aminotransferase EpsN
LABOMGJG_00368	CDS	612	pglC	2.7.8.36	COG2148	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
LABOMGJG_00369	CDS	825	wbbD	2.4.1.303	COG0463	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase
LABOMGJG_00370	CDS	1083				hypothetical protein
LABOMGJG_00371	CDS	972				hypothetical protein
LABOMGJG_00372	CDS	1149	tuaC	2.4.-.-	COG0438	Putative teichuronic acid biosynthesis glycosyltransferase TuaC
LABOMGJG_00373	CDS	1053	pglH_1	2.4.1.292	COG0438	GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase
LABOMGJG_00374	CDS	1440				hypothetical protein
LABOMGJG_00375	CDS	1482				hypothetical protein
LABOMGJG_00376	CDS	732	cugP	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
LABOMGJG_00377	CDS	1149	galK_1	2.7.1.6	COG0153	Galactokinase
LABOMGJG_00378	CDS	1365				hypothetical protein
LABOMGJG_00379	CDS	1239	ugd	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
LABOMGJG_00380	CDS	756				hypothetical protein
LABOMGJG_00381	CDS	156				hypothetical protein
LABOMGJG_00382	CDS	3210				hypothetical protein
LABOMGJG_00383	CDS	1227	yciC		COG0523	Putative metal chaperone YciC
LABOMGJG_00384	CDS	276	groS		COG0234	10 kDa chaperonin
LABOMGJG_00385	CDS	1629	groL		COG0459	60 kDa chaperonin
LABOMGJG_00386	CDS	2661	mutS		COG0249	DNA mismatch repair protein MutS
LABOMGJG_00387	CDS	1020	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
LABOMGJG_00388	CDS	609				hypothetical protein
LABOMGJG_00389	tRNA	88				tRNA-Ser(gct)
LABOMGJG_00390	CDS	1695				hypothetical protein
LABOMGJG_00391	CDS	546	proX		COG3760	Prolyl-tRNA editing protein ProX
LABOMGJG_00392	CDS	1374	umuC		COG0389	Protein UmuC
LABOMGJG_00393	CDS	204				hypothetical protein
LABOMGJG_00394	CDS	105				hypothetical protein
LABOMGJG_00395	CDS	1353	ispG	1.17.7.3		4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (ferredoxin)
LABOMGJG_00396	tRNA	74				tRNA-Lys(ttt)
LABOMGJG_00397	CDS	282				hypothetical protein
LABOMGJG_00398	CDS	2718	lepA_1			Elongation factor 4
LABOMGJG_00399	CDS	1563				hypothetical protein
LABOMGJG_00400	CDS	783				hypothetical protein
LABOMGJG_00401	CDS	1842				hypothetical protein
LABOMGJG_00402	CDS	1707				hypothetical protein
LABOMGJG_00403	CDS	993				hypothetical protein
LABOMGJG_00404	CDS	912				hypothetical protein
LABOMGJG_00405	CDS	891			COG1721	putative protein
LABOMGJG_00406	CDS	990				hypothetical protein
LABOMGJG_00407	CDS	9468				hypothetical protein
LABOMGJG_00408	CDS	1173		2.4.1.337	COG0438	Alpha-monoglucosyldiacylglycerol synthase
